Adresse,Namer der Einrichtung,plz,Wärmemedium,2020 Wärme,2020 Strom
Hans-Otto-Str. 40 b,"Kita, fr. Tr.",10409,Fernwärme,"190,626",-
"Heinersdorferstr 52-58/Prenzlauer Promenade
3",Kultureinrichtung Brotfabrik,13086,Gas,"180,908","29,468"
Heinrich-Roller-Str. 18,Heinrich-Roller-Grundschule,10405,Gas,"590,150","151,331"
"Helmholtzplatz, Raumer Str., Duncker Str.",Trafohaus,10437,,133,-
Herman-Hesse-Str. 103,,13156,,-,"16,656"
Hermann-Hesse-Str. 48-52,Rudolf-Dörrier-Grundschule,13156,Gas,"334,943","76,750"
Hermann-Hesse-Str. 80,SpA,13156,Gas,"88,248","24,900"
Hermann-Hesse-Str. 82,Schießsportanlage,13156,Gas,"190,636","27,800"
Hofzeichendamm 8000,Brunnenanlage Schmiedebankplatz,13125,,-,2
Hosemannstr. 14,Jugendfreizeit,10409,Gas/Fernwärme,"43,486","38,000"
