level_0,index,facility,plz,heat_supply,heat_consumption,power_consumption,district,year,facility_type,District_Overview,Heat_Consumption_per_District,Year_Overview,Facility_Type_Overview,District_Detail,Power_Consumption_District_Facility_Type_Year,District_Results,Power_Consumption_per_District,Facility_type_Overview,power_consumption,Facility_Type_Results,Heat_Consumption_per_Facility_Type
109,109,Bürgeramt ,10319,Fernwärme,0,28047,Lichtenberg,2018,Other,,,,,,,,,,,,
110,110,Schule,10369,Fernwärme,95529,11720,Lichtenberg,2018,Schule,,,,,,,,,,,,
111,111,Carl-von-Linné-Schule,10367,Fernwärme,2367786,469090,Lichtenberg,2018,Schule,,,,,,,,,,,,
112,112,Fil. Manfred-von-Ardenne-Gymnasium,10369,Fernwärme,807565,60008,Lichtenberg,2018,Sport,,,,,,,,,,,,
113,113,Sporthalle,10369,Fernwärme,130967,0,Lichtenberg,2018,Sport,,,,,,,,,,,,
114,114,Margarete-Steffin-Volkshochschule,10369,Fernwärme,468667,74367,Lichtenberg,2018,Schule,,,,,,,,,,,,
115,115,Brunnen,10369,Fernwärme,0,1,Lichtenberg,2018,Platz,,,,,,,,,,,,
116,116,Revierstützpunkt,10369,Fernwärme,131620,10249,Lichtenberg,2018,Other,,,,,,,,,,,,
117,117,Matibi-Schule,13059,Fernwärme,467277,425110,Lichtenberg,2018,Schule,,,,,,,,,,,,
118,118,Fritz-Reuter-Schule,13059,Fernwärme,1983100,0,Lichtenberg,2018,Schule,,,,,,,,,,,,
119,119,Anna-Seghers-Bibliothek,13051,Fernwärme,0,131315,Lichtenberg,2018,Schule,,,,,,,,,,,,
120,120,Randow-Schule,13057,Fernwärme,457520,58700,Lichtenberg,2018,Schule,,,,,,,,,,,,
121,121,Schule am Rathaus,10367,Fernwärme,503511,74760,Lichtenberg,2018,Schule,,,,,,,,,,,,
122,122,Sporthalle,10315,Fernwärme,175043,18289,Lichtenberg,2018,Sport,,,,,,,,,,,,
123,123,Sporthalle,13051,Fernwärme,110387,18508,Lichtenberg,2018,Sport,,,,,,,,,,,,
124,124,Soziokulturelles Zentrum,13051,Fernwärme,86850,54052,Lichtenberg,2018,Kultur,,,,,,,,,,,,
125,125,Hort,13053,Fernwärme,0,52,Lichtenberg,2018,Other,,,,,,,,,,,,
126,126,Obersee-Schule,13053,Erdgas H,444239,95750,Lichtenberg,2018,Schule,,,,,,,,,,,,
127,127,Lew-Tolstoi-Schule,10318,Erdgas H,876163,13540,Lichtenberg,2018,Schule,,,,,,,,,,,,
128,128,Hans-und-Hilde-Coppi-Schule,10318,Fernwärme,933773,169973,Lichtenberg,2018,Schule,,,,,,,,,,,,
129,129,Brunnen,13055,Fernwärme,0,11759,Lichtenberg,2018,Platz,,,,,,,,,,,,
130,130,Fil. Paul-Schmidt-Schule,13053,Fernwärme,264480,35628,Lichtenberg,2018,Schule,,,,,,,,,,,,
131,131,33. Grundschule,10365,Fernwärme,479433,30621,Lichtenberg,2018,Schule,,,,,,,,,,,,
